--- patched script (head) ---
427:arquivo = "/Users/gabrielrufinomontenegro/pibic-opf-2025/powerflow/Codes/data/caso_red.pwf"
--- begin julia output ---
c1. Lendo arquivo PWF...
[info | PWF]: Populating defaults
[warn | PWF]: DC line will not be parsed due to the absence of at least one those sections: DCBA, DCLI, DCNV, DCCV, DELO
[warn | PWF]: Active generator with QMIN = QMAX = 0 found in PQ bus 47506. Adding generator power to load power and changing generator status to off
[warn | PWF]: Active generator with QMIN = QMAX = 0 found in PQ bus 6672. Adding generator power to load power and changing generator status to off
[warn | PWF]: Active generator with QMIN = QMAX = 0 found in PQ bus 6791. Adding generator power to load power and changing generator status to off
[warn | PWF]: Active generator with QMIN = QMAX = 0 found in PQ bus 8913. Adding generator power to load power and changing generator status to off
[warn | PWF]: Active generator with QMIN = QMAX = 0 found in PQ bus 6144. Adding generator power to load power and changing generator status to off
[warn | PWF]: Active generator with QMIN = QMAX = 0 found in PQ bus 5944. Adding generator power to load power and changing generator status to off
[warn | PWF]: Active generator with QMIN = QMAX = 0 found in PQ bus 47123. Adding generator power to load power and changing generator status to off
[warn | PWF]: Active generator with QMIN = QMAX = 0 found in PQ bus 8975. Adding generator power to load power and changing generator status to off
[warn | PWF]: Active generator with QMIN = QMAX = 0 found in PQ bus 5492. Adding generator power to load power and changing generator status to off
[warn | PWF]: Active generator with QMIN = QMAX = 0 found in PQ bus 46956. Adding generator power to load power and changing generator status to off
[warn | PWF]: Active generator with QMIN = QMAX = 0 found in PQ bus 47359. Adding generator power to load power and changing generator status to off
[warn | PWF]: Active generator with QMIN = QMAX = 0 found in PQ bus 5826. Adding generator power to load power and changing generator status to off
[warn | PWF]: Active generator with QMIN = QMAX = 0 found in PQ bus 46375. Adding generator power to load power and changing generator status to off
[warn | PWF]: Active generator with QMIN = QMAX = 0 found in PQ bus 6709. Adding generator power to load power and changing generator status to off
[warn | PWF]: Active generator with QMIN = QMAX = 0 found in PQ bus 5862. Adding generator power to load power and changing generator status to off
[warn | PWF]: Active generator with QMIN = QMAX = 0 found in PQ bus 47325. Adding generator power to load power and changing generator status to off
[warn | PWF]: Active generator with QMIN = QMAX = 0 found in PQ bus 47704. Adding generator power to load power and changing generator status to off
[warn | PWF]: Active generator with QMIN = QMAX = 0 found in PQ bus 7069. Adding generator power to load power and changing generator status to off
[warn | PWF]: Active generator with QMIN = QMAX = 0 found in PQ bus 8372. Adding generator power to load power and changing generator status to off
[warn | PWF]: Active generator with QMIN = QMAX = 0 found in PQ bus 9470. Adding generator power to load power and changing generator status to off
[warn | PWF]: Active generator with QMIN = QMAX = 0 found in PQ bus 8938. Adding generator power to load power and changing generator status to off
