caso,script,bus_id,vm_pu,va_rad,pd_pu,qd_pu,pg_pu,qg_pu,bus_type
500bus.pwf,19,1,1.0031920142710165,-0.15827742776801482,0.0,0.0,0.0,0.0,1
500bus.pwf,19,2,1.0026072243486626,-0.15955322535918787,0.428,0.11410000000000001,0.0,0.0,1
500bus.pwf,19,3,1.0002947599682221,-0.18189710666756714,0.0,0.0,0.0,0.0,1
500bus.pwf,19,4,0.9981176738320378,-0.18632821805784372,1.327,0.3538,0.0,0.0,1
500bus.pwf,19,5,0.9983298693178868,0.01514105330120052,0.0,0.0,0.0,0.0,1
500bus.pwf,19,6,0.9982803569908808,0.015031125773319194,0.03213,0.00857,0.0,0.0,1
500bus.pwf,19,7,1.0328991974513526,-0.09033872917498938,0.0,0.0,0.0,0.0,1
500bus.pwf,19,8,1.0211426802240797,-0.12183718988022808,0.0,0.0,0.0,0.0,1
500bus.pwf,19,9,1.0553571654027512,-0.04230187572206181,0.0,0.0,7.718,3.596997647176328,2
500bus.pwf,19,10,0.9892138135458447,-0.2165444013537317,0.0,0.0,0.0,0.0,1
500bus.pwf,19,11,0.9891762848927765,-0.21662088644138935,0.02472,0.00659,0.0,0.0,1
500bus.pwf,19,12,0.9717720634405401,-0.23196830177573066,0.0,0.0,0.0,0.0,1
500bus.pwf,19,13,0.9712131935188226,-0.23313685900791542,0.3716,0.09910000000000001,0.0,0.0,1
500bus.pwf,19,14,1.0088297484482676,-0.045823111179015316,0.0,0.0,0.0,0.0,1
500bus.pwf,19,15,1.0028102741786011,-0.08945433308703814,0.0,0.0,0.0,0.0,1
500bus.pwf,19,16,1.0137172323820425,0.006303567119501723,0.0,0.0,4.444,0.4072632763326868,2
500bus.pwf,19,17,1.0123414270667999,0.0,0.0,0.0,6.517474362176421,0.5001800238685401,3
500bus.pwf,19,18,1.0168940679998466,0.03259024465722757,0.0,0.0,1.5759999999999998,0.1782855338190985,2
500bus.pwf,19,19,0.9855699918864621,-0.2223248604163537,0.0,0.0,0.0,0.0,1
500bus.pwf,19,20,0.9854972955480144,-0.2224998267504379,0.045419999999999995,0.012110000000000001,0.0,0.0,1
500bus.pwf,19,21,0.9884102905709417,-0.1864650295635042,0.0,0.0,0.0,0.0,1
500bus.pwf,19,22,0.9862384235050948,-0.19106791449848418,1.4869999999999999,0.39649999999999996,0.0,0.0,1
500bus.pwf,19,23,1.0032767752519922,-0.1074936893470886,0.0,0.0,0.0,0.0,1
500bus.pwf,19,24,0.9888564010875881,-0.1562836711795507,0.0,0.0,0.0,0.0,1
500bus.pwf,19,25,0.9888200325218018,-0.15636460524617637,0.02283,0.00609,0.0,0.0,1
500bus.pwf,19,26,0.9885149206671291,-0.1570768022955034,0.21660000000000001,0.05777,0.0,0.0,1
500bus.pwf,19,27,1.0072565860606713,-0.25826994997047453,0.0,0.0,0.0,0.0,1
500bus.pwf,19,28,1.0061615198531997,-0.2606167180489121,0.6293,0.1678,0.0,0.0,1
500bus.pwf,19,29,0.9878190790648607,-0.2268735723190346,0.0,0.0,0.0,0.0,1
500bus.pwf,19,30,0.9862975932040455,-0.23008945610448417,0.9997,0.2666,0.0,0.0,1
500bus.pwf,19,31,0.9899107675458264,-0.2739332609431041,0.0,0.0,0.0,0.0,1
500bus.pwf,19,32,0.9897588148135833,-0.27425841960542796,0.09765,0.02604,0.0,0.0,1
500bus.pwf,19,33,0.9778516859770379,-0.24062127789060678,0.0,0.0,0.0,0.0,1
500bus.pwf,19,34,0.9774678057815839,-0.2414365909020403,0.25,0.06666,0.0,0.0,1
500bus.pwf,19,35,0.9749298541522473,-0.2518939432108146,0.0,0.0,0.0,0.0,1
500bus.pwf,19,36,0.9743100974944459,-0.2532058428284938,0.4335,0.11560000000000001,0.0,0.0,1
500bus.pwf,19,37,0.9988191909606507,0.022877239973197426,0.0,0.0,0.0,0.0,1
500bus.pwf,19,38,0.9988172233166555,0.022872477209011324,0.0012900000000000001,0.00034,0.0,0.0,1
500bus.pwf,19,39,1.006014044233721,-0.10391166457841104,0.0,0.0,0.0,0.0,1
500bus.pwf,19,40,0.9994716462826726,-0.12567970237358134,0.0,0.0,0.0,0.0,1
500bus.pwf,19,41,0.9984953350277024,-0.12786126969498046,0.5799,0.15460000000000002,0.0,0.0,1
500bus.pwf,19,42,0.982879299299779,-0.20842647799356,0.0,0.0,0.0,0.0,1
500bus.pwf,19,43,0.9828169198188936,-0.20856383459637554,0.044610000000000004,0.011899999999999999,0.0,0.0,1
500bus.pwf,19,44,1.005558592187138,-0.14011833182490535,0.0,0.0,0.0,0.0,1
500bus.pwf,19,45,1.005524845591426,-0.14019278540712957,0.02031,0.00542,0.0,0.0,1
500bus.pwf,19,46,0.9739627228710075,-0.20246675488912358,0.0,0.0,0.0,0.0,1
500bus.pwf,19,47,0.9732821039202848,-0.2039749700827485,0.4341,0.1158,0.0,0.0,1
500bus.pwf,19,48,0.9832086321453235,-0.2910475982786543,0.0,0.0,0.0,0.0,1
500bus.pwf,19,49,0.9829271324411626,-0.2872789963897604,0.0,0.0,0.013000000000000001,-0.001589993771977124,2
500bus.pwf,19,50,0.9828606263809054,-0.2866235198362646,0.0,0.0,0.026000000000000002,-0.0031699937746907814,2
500bus.pwf,19,51,0.9832017076484353,-0.29106021575298796,0.0035399999999999997,0.00094,0.0,0.0,1
500bus.pwf,19,52,0.9828477435433463,-0.2918163936603845,0.2339,0.06237,0.0,0.0,1
500bus.pwf,19,53,0.9963717697132766,-0.20252811615493949,0.0,0.0,0.0,0.0,1
500bus.pwf,19,54,0.9958480621789654,-0.20353843728073615,0.3481,0.09282,0.0,0.0,1
500bus.pwf,19,55,0.9869657584997562,-0.19717984107341216,0.0,0.0,0.0,0.0,1
500bus.pwf,19,56,0.9869308388486794,-0.19725242083450828,0.02253,0.00601,0.0,0.0,1
500bus.pwf,19,57,0.9937061578504631,-0.14435884201089047,0.0,0.0,0.0,0.0,1
500bus.pwf,19,58,0.9852277900664997,-0.19216742482985094,0.0,0.0,0.0,0.0,1
500bus.pwf,19,59,0.9828527612770569,-0.19752639252839246,1.409,0.37579999999999997,0.0,0.0,1
