ID_Barra,Tipo_Barra,Vm_pu,Va_graus,Pg_pu,Qg_pu,Pd_pu,Qd_pu
1,1,1.011459763879262,-8.585654015314931,0.0,0.0,0.0,0.0
2,1,1.0108797611816802,-8.657560907174638,0.0,0.0,0.428,0.11410000000000001
3,1,1.0037442377145456,-9.897808236660351,0.0,0.0,0.0,0.0
4,1,1.0015746931489653,-10.149945963186394,0.0,0.0,1.327,0.3538
5,1,1.0146960622621282,0.9196430084733564,0.0,0.0,0.0,0.0
6,1,1.0146483592113096,0.9135372757642813,0.0,0.0,0.03213,0.00857
7,1,1.0327201586732784,-4.733922363985703,0.0,0.0,0.0,0.0
8,1,1.0244477156326872,-6.517907587570973,0.0,0.0,0.0,0.0
9,2,1.04,-1.9328764647445815,7.718,1.2321814675425853,0.0,0.0
10,1,1.0170044090585917,-11.838429246106143,0.0,0.0,0.0,0.0
11,1,1.0169677436110989,-11.84257340840466,0.0,0.0,0.02472,0.00659
12,1,0.9949937716950557,-12.687612287555229,0.0,0.0,0.0,0.0
13,1,0.9944479936264587,-12.751475305912523,0.0,0.0,0.3716,0.09910000000000001
14,1,1.0310503531480377,-2.4778746152785818,0.0,0.0,0.0,0.0
15,1,1.0237375955835757,-4.872096896695174,0.0,0.0,0.0,0.0
16,2,1.04,0.36421710558604237,4.444,0.7635834577477911,0.0,0.0
17,3,1.04,0.0,6.476075760444866,1.2915140878946774,0.0,0.0
18,2,1.04,1.8185777171614044,1.5759999999999998,0.19721425292127442,0.0,0.0
19,1,1.0178374894672395,-12.154072962262303,0.0,0.0,0.0,0.0
20,1,1.0177670880146492,-12.163472125299878,0.0,0.0,0.045419999999999995,0.012110000000000001
21,1,1.0086268999230117,-10.171985883677749,0.0,0.0,0.0,0.0
22,1,1.0064991553877165,-10.425223242311008,0.0,0.0,1.4869999999999999,0.39649999999999996
23,1,1.0267929821676696,-5.856866416108982,0.0,0.0,0.0,0.0
24,1,1.0118363794399166,-8.532690178366229,0.0,0.0,0.0,0.0
25,1,1.0118007003473353,-8.53711780273491,0.0,0.0,0.02283,0.00609
26,1,1.0115025326613212,-8.576090682927875,0.0,0.0,0.21660000000000001,0.05777
27,1,1.0375363963267183,-14.126790915875155,0.0,0.0,0.0,0.0
28,1,1.0364753362912347,-14.253526538203134,0.0,0.0,0.6293,0.1678
29,1,1.005204191559404,-12.430787961015442,0.0,0.0,0.0,0.0
30,1,1.0037092765041546,-12.608716746700038,0.0,0.0,0.9997,0.2666
31,1,1.0330727485426554,-14.899982150078094,0.0,0.0,0.0,0.0
32,1,1.0329271480420101,-14.91708790926922,0.0,0.0,0.09765,0.02604
33,1,1.0057066464344437,-13.139050780674214,0.0,0.0,0.0,0.0
34,1,1.0053333522578203,-13.183211222283507,0.0,0.0,0.25,0.06666
35,1,1.0185660282561415,-13.725856272124535,0.0,0.0,0.0,0.0
36,1,1.0179729290846393,-13.794716579373482,0.0,0.0,0.4335,0.11560000000000001
37,1,1.019536806189432,1.2991553078542617,0.0,0.0,0.0,0.0
38,1,1.0195348407059865,1.2988937048856217,0.0,0.0,0.0012900000000000001,0.00034
39,1,1.0294011616599936,-5.659302196377475,0.0,0.0,0.0,0.0
40,1,1.0229837874450998,-6.8513691712934905,0.0,0.0,0.0,0.0
41,1,1.022030064412898,-6.97067875732175,0.0,0.0,0.5799,0.15460000000000002
42,1,1.0259012198381783,-11.436658139010236,0.0,0.0,0.0,0.0
43,1,1.0258414795634256,-11.443882046161594,0.0,0.0,0.044610000000000004,0.011899999999999999
44,1,1.0175572893577294,-7.593289242160935,0.0,0.0,0.0,0.0
45,1,1.0175239337396,-7.597455037397252,0.0,0.0,0.02031,0.00542
46,1,0.9980012707446574,-11.050463975737626,0.0,0.0,0.0,0.0
47,1,0.9973370754599347,-11.132762417047152,0.0,0.0,0.4341,0.1158
48,1,1.011497647283899,-15.870235281982932,0.0,0.0,0.0,0.0
49,2,1.003,-15.642297381736661,0.013000000000000001,-0.03119284111425364,0.0,0.0
50,2,1.003,-15.608595852773522,0.026000000000000002,-0.05318208908694899,0.0,0.0
51,1,1.0114919324040326,-15.870928644066458,0.0,0.0,0.0035399999999999997,0.00094
52,1,1.011147800115019,-15.911863449359632,0.0,0.0,0.2339,0.06237
53,1,1.0110617974550469,-11.079461448794284,0.0,0.0,0.0,0.0
54,1,1.0105457161937539,-11.135677770692137,0.0,0.0,0.3481,0.09282
55,1,1.0245413302346629,-10.826346808048292,0.0,0.0,0.0,0.0
56,1,1.0245078144209838,-10.830207203860448,0.0,0.0,0.02253,0.00601
57,1,1.0129703492817808,-7.891022083289337,0.0,0.0,0.0,0.0
58,1,1.005609564374637,-10.515984392468068,0.0,0.0,0.0,0.0
59,1,1.0032834844396787,-10.81068161202058,0.0,0.0,1.409,0.37579999999999997
60,1,1.0194792814715232,-7.386037471972393,0.0,0.0,0.0,0.0
61,1,1.0194763599316359,-7.386417352524633,0.0,0.0,0.0020399999999999997,0.00054
62,1,1.0065927072364091,-9.733423987495973,0.0,0.0,0.0,0.0
63,2,1.01,-9.737219140567332,0.0,0.021044260482958998,0.0,0.0
64,1,1.0060617657764988,-9.79437742275172,0.0,0.0,0.3478,0.09273999999999999
65,1,1.02742826222796,-8.694024896149914,0.0,0.0,0.0,0.0
66,1,1.0253178850058622,-10.190545737719955,0.0,0.0,0.0,0.0
67,1,1.0252484997099942,-10.198470663848733,0.0,0.0,0.04569,0.01218
68,1,1.0254263351779824,-10.963065345313202,0.0,0.0,0.0,0.0
