ID_Linha,De,Para,Pf_pu,Qf_pu,Pt_pu,Qt_pu,Perda_pu,Tap
1,242,287,-0.876022722850046,-0.013076235302470943,0.8814257058210967,0.042887767419502745,0.005402982971050685,1.0
2,325,324,-1.0350000000000041,-0.2761408853700933,1.0356280495639187,0.28048504112964756,0.0006280495639146011,1.0
3,2,1,-0.42800000000001026,-0.11408157153962908,0.42810189251511466,0.11468404221696507,0.0001018925151043959,1.0
4,38,37,-0.0012900000000065212,-0.0003363187553770314,0.0012900009337733628,0.0003363252957239621,9.337668416264933e-10,1.0
5,423,496,-1.8988248596859727,-0.16573217767681914,1.912486204827654,0.28519383657760133,0.01366134514168138,1.0
6,77,76,-0.06951000000000586,-0.018536843752885224,0.06951347340116366,0.018553399632084355,3.473401157805256e-6,1.0
7,294,293,-0.25609999999999605,-0.06845635249508532,0.25614360751846693,0.06867873597006237,4.3607518470878404e-5,1.0
8,27,382,0.4229790421959117,0.33333938190736434,-0.42205848676763563,-0.33655442226557086,0.0009205554282760708,1.0
9,377,376,-0.9038999999999955,-0.2410373838186312,0.9043340312348558,0.24393844893834665,0.00043403123486029926,1.0
10,46,156,0.38927320924064546,0.13611757301648647,-0.3881234726891083,-0.14521973862092546,0.0011497365515371616,1.0
11,387,470,0.908283091551118,0.15043363791064812,-0.9065388793417821,-0.14162952588432964,0.0017442122093358492,1.0
12,495,449,-0.4029452530771164,-0.11002626555575507,0.4032462404918204,0.10694099105409055,0.00030098741470396817,1.0
13,365,374,0.30151680010504506,0.08088158180666123,-0.3012409932181737,-0.08708041271198037,0.0002758068868713437,1.0
14,263,491,0.9874596499300415,0.07171402462781087,-0.9841758539214055,-0.051226648316818585,0.003283796008636042,1.0
15,285,487,1.0742839800354738,-0.29109524064861547,-1.070520608609894,0.3165012165914257,0.003763371425579809,1.0
16,401,5,1.2047301047046328,-0.24378201482303716,-1.1974781248588806,0.2979358259677489,0.00725197984575221,1.0
17,237,236,-0.02711999999999926,-0.007276139770670477,0.027120526186176556,0.007278669680420615,5.261861772964949e-7,1.0
18,133,369,-0.31846590674227093,-0.06087070856069772,0.3190903178840184,0.04598961212411552,0.000624411141747494,1.0
19,493,380,0.8664323588258022,0.09674189279039015,-0.8639208414674268,-0.0834817778324778,0.0025115173583754036,1.0
20,322,208,1.2604633182470006,-0.6757151338788809,-1.2546497393384188,0.7225111622365212,0.005813578908581807,1.0
21,178,176,-0.06812999999999186,-0.01816523142971834,0.06813325278228427,0.018180229683848546,3.252782292406664e-6,1.0
22,263,276,1.1651507233237712,0.6257591072575606,-1.1636885695622308,-0.6144725128369926,0.0014621537615404634,1.0
23,148,147,-0.5742000000000061,-0.1530906260031027,0.574402834492561,0.15443730056311394,0.00020283449255487085,1.0
24,177,176,-0.08780999999999568,-0.023415231191791442,0.08781439946088017,0.023444043239067448,4.3994608844855065e-6,1.0
25,217,216,-0.5510000000000124,-0.1471711179423485,0.5511984248629138,0.14820600281487284,0.00019842486290144734,1.0
26,173,172,-0.03135000000002112,-0.008535755287501886,0.03135070399381238,0.008539021864597814,7.039937912622918e-7,1.0
27,368,367,-0.11450000000000667,-0.030715700412787823,0.11450706063502732,0.03075963188617315,7.060635020650352e-6,1.0
28,66,308,0.567078338500031,0.02573255123483771,-0.5648692277932744,-0.027754202291208355,0.0022091107067565563,1.0
29,379,378,-0.13009999999999683,-0.03468773635195678,0.13011022808653455,0.034754323531801426,1.0228086537722447e-5,1.0
30,236,106,0.5659624055186437,0.0005158566434383116,-0.5650061041967621,-0.0013932444971865576,0.0009563013218816252,1.0
31,232,371,-0.4230882929261924,0.10300729489287501,0.42318627154837324,-0.247176041369413,9.797862218086095e-5,1.0
32,58,253,0.737525134095442,0.21360944600054638,-0.734865330931492,-0.20208155712884207,0.002659803163949981,1.0
33,179,374,-0.05349468510050785,-0.032512111987300266,0.05350815252083878,0.020918437718128693,1.3467420330925961e-5,1.0
34,366,365,-0.5649000000000018,-0.15056659032788577,0.5650834740210019,0.15189445388020506,0.00018347402100005183,1.0
35,315,314,-0.004260000000002462,-0.0013354301232921446,0.004260010175954987,0.001335489804220788,1.0175952525059984e-8,1.0
36,204,202,-0.45670000000000194,-0.12197854994126028,0.4568227706050903,0.12284185081695337,0.00012277060508836257,1.0
37,259,253,-0.08159999999999486,-0.022033345562935278,0.08160472980078766,0.022059307236364997,4.7298007928020525e-6,1.0
38,160,399,-0.12767828761334726,-0.07324507971209988,0.1277583668685755,0.06038404571313711,8.007925522823811e-5,1.0
