ID_Barra,Tipo_Barra,Vm_pu,Va_graus,Pg_pu,Qg_pu,Pd_pu,Qd_pu,Slack_QLIM_pu,Slack_VLIM_pu
1,1,1.0704196662680119,53.02700096696393,0.0,0.0,0.9,0.49,0.0,-0.0042105756184591695
2,1,1.0751586631829164,53.876522422883724,0.0,0.0,0.56,0.15,0.0,-0.004912828047318229
3,1,1.0214873318637872,53.80126633075952,0.0,0.0,0.2,0.0,0.0,-0.009690703682395104
4,1,1.0471936497562377,50.603114266431184,0.0,0.0,0.0,0.0,0.0,-0.014933904005081837
5,1,1.0605524098844463,51.85103895405051,0.0,0.0,3.53,1.3,0.0,-0.004528000089069188
6,1,1.0696464850472396,53.420949938516934,0.0,0.0,1.2,0.41,0.0,-0.005447089217442774
7,1,1.0213570788870558,53.6659697571833,0.0,0.0,0.0,0.0,0.0,-0.00807477259609151
8,2,1.0463247562964397,47.75106304269814,0.0,0.10000000995250871,0.58,0.14,0.0,-0.009571132551458101
9,1,1.0479600786969412,49.73678672777787,0.0,0.0,0.96,0.43,0.0,-0.004224630311498361
10,2,1.0602197766883459,48.52465133706704,0.0,0.20000000989893177,1.48,0.33,0.0,-0.00449741207144176
11,1,1.0524599294594779,48.97554794995485,0.0,0.0,0.83,0.21,0.0,-0.004590594998736885
12,1,1.0309798100380096,52.31926347339669,0.0,0.0,0.0,0.0,0.0,-0.006436101879713825
13,1,1.0438347427997234,46.3048544268597,0.0,0.0,0.58,0.1,0.0,-0.00365943801964543
14,1,1.009161504080563,38.018737992890316,0.0,0.0,1.6,0.6,0.0,-0.02234743595413872
15,1,1.032268483472461,31.468683262506417,0.0,0.0,1.2670000000000001,0.23,0.0,-0.036105495908291214
16,1,1.0242419693044404,38.168322455162084,0.0,0.0,0.0,0.0,0.0,-0.03532646786230455
17,1,1.064256733749219,26.883278149651748,0.0,0.0,5.61,2.2,0.0,-0.039745613355899656
19,1,1.016433732919708,47.06791032216509,0.0,0.0,0.0,0.0,0.0,-0.004992556179292161
20,2,1.045493915246455,44.64030824586372,0.0,0.200000009846811,5.95,1.2,0.0,-0.002967219838290407
21,1,1.0144174239690458,48.339223470458705,0.0,0.0,0.77,0.01,0.0,-0.004002584254453804
22,1,1.0429813691835723,45.05346355320283,0.0,0.0,0.81,0.23,0.0,-0.0013674982331013433
23,1,1.1000000109839692,50.3558206221841,0.0,0.0,0.21,0.07,0.0,1.5266399089536022e-6
24,1,1.0572436978515456,52.26262720575876,0.0,0.0,0.0,0.0,0.0,-0.0017065039599035922
25,1,1.0745435260518226,48.08209529900449,0.0,0.0,0.45,0.12,0.0,0.0005604736582862097
26,1,1.0505296076817998,45.209292761533156,0.0,0.0,0.28,0.09,0.0,-0.00010518197104377892
27,1,1.0260178086843799,42.36880471740308,0.0,0.0,0.69,0.13,0.0,-0.0005617852657995554
33,1,1.0224201231942458,18.569295525592935,0.0,0.0,0.55,0.06,0.0,-0.08013400638883315
34,1,1.0362958073644446,26.79701024602414,0.0,0.0,0.0,0.0,0.0,-0.05835788385197225
35,1,1.0388266002138389,10.389201902143315,0.0,0.0,0.0,0.0,0.0,-0.01163977025920733
36,1,1.053892432294935,13.204978030850057,0.0,0.0,0.0,0.0,0.0,-0.017054057246340723
37,1,1.0056370271460875,16.94603601199683,0.0,0.0,0.85,0.32,0.0,-0.09272336109532646
38,1,1.0169844594633988,17.668515530487102,0.0,0.0,1.55,0.18,0.0,-0.08196055682386272
39,1,1.0529391821432295,29.427181938199183,0.0,0.0,0.0,0.0,0.0,-0.05531388442469157
40,1,1.023807601505105,17.434892759434327,0.0,0.0,0.46,-0.21,0.0,-0.07889435371979177
41,1,1.0196531339645323,19.12957669175877,0.0,0.0,0.86,0.0,0.0,-0.08872270465389563
42,1,1.0412523121642971,27.802417836701416,0.0,0.0,0.0,0.0,0.0,-0.05543526438629195
43,1,1.0251799733073153,16.23753981184374,0.0,0.0,0.39,0.09,0.0,-0.059322067948372866
44,1,1.0411815755636307,17.637796854387744,0.0,0.0,1.95,0.29,0.0,-0.04485885072091967
45,1,1.0479831032695972,21.03249731293329,0.0,0.0,0.0,0.0,0.0,-0.040759199800755784
46,1,1.048659635815216,23.595403819319703,0.0,0.0,0.0,0.0,0.0,-0.044838921198223636
47,1,1.0284506042007315,12.607101229972189,0.0,0.0,0.58,0.11800000000000001,0.0,-0.03238110605778107
48,1,1.0386927861277782,17.280454743936943,0.0,0.0,0.41,0.19,0.0,-0.04239661356289241
49,1,0.902061516640963,3.8743314545504433,0.0,0.0,0.92,0.26,0.0,-0.22159631037836242
51,1,0.9674343581540773,13.0832436526405,0.0,0.0,-0.05,0.05,0.0,-0.14061220843892824
52,1,0.9844000720825296,15.155560999845083,0.0,0.0,0.61,0.28,0.0,-0.10550479229365677
53,1,1.0230506935067463,15.532870618758562,0.0,0.0,0.69,0.03,0.0,-0.059466979409168286
54,1,1.03221257038981,17.030327821123617,0.0,0.0,0.1,0.01,0.0,-0.05958786430057885
55,1,1.0273268214617455,19.152058432078892,0.0,0.0,0.22,0.1,0.0,-0.07763325679916737
57,1,1.0833638305348514,29.037561647989403,0.0,0.0,0.98,0.2,0.0,-0.048386078465797705
58,1,1.0658498029544539,33.079099625167856,0.0,0.0,0.14,0.01,0.0,-0.03587764174680055
59,1,1.0575287776196451,34.453388734440324,0.0,0.0,2.18,1.06,0.0,-0.032491470636704246
60,1,1.0557059914914453,28.407021564715883,0.0,0.0,0.0,0.0,0.0,-0.03611402693356847
61,1,1.0687946644535922,36.39488614579897,0.0,0.0,2.27,1.1,0.0,-0.030953850272460694
62,1,1.0675883445090883,40.13591293866303,0.0,0.0,0.0,0.0,0.0,-0.02597864320017426
63,2,1.037839037429705,24.51751007042022,0.0,0.25000000998001387,0.7,0.3,0.0,-0.022743051779142185
64,1,1.0204411144636378,28.776496223471845,0.0,0.0,0.0,0.0,0.0,-0.023813353562424974
69,1,1.0332969886867125,10.467758961198463,0.0,0.0,0.0,0.0,0.0,-0.004813234041063216
70,1,1.0234559811443018,2.0211005209567707,0.0,0.0,0.56,0.2,0.0,-0.013870793815815867
71,1,1.0453979392843875,6.681382987388478,0.0,0.0,1.16,0.38,0.0,-0.013653819545829608
72,1,1.0359318771111528,8.80231320456942,0.0,0.0,0.57,0.19,0.0,-0.011103570592057887
73,1,1.0351453432368254,10.447268399387253,0.0,0.0,2.24,0.71,0.0,-0.01785761608864436
74,1,1.0448361840422415,13.867363165615542,0.0,0.0,0.0,0.0,0.0,-0.02326149912479155
76,2,1.0272827760735697,9.664008647314255,0.0,0.35000000995864405,2.08,1.07,0.0,-0.010991057390549315
77,1,1.050391502573312,10.995718267712698,0.0,0.0,0.74,0.28,0.0,-0.00953805979920255
78,1,1.057389361099054,11.768030459755593,0.0,0.0,0.0,0.0,0.0,-0.008854258667235129
79,1,1.0473719416931029,11.00222059866881,0.0,0.0,0.48,0.14,0.0,-0.010652716176634438
80,1,1.0533975544361212,10.922138885315587,0.0,0.0,0.28,0.07,0.0,-0.007167758702503264
81,1,1.0723475781801957,16.61985405288714,0.0,0.0,0.0,0.0,0.0,-0.01968266647923058
84,2,1.100000010997563,17.772982894469834,3.75,1.6092768661027954,0.37,0.13,0.0,-4.614743578964221e-13
85,1,1.064357137909256,19.79273312400047,0.0,0.0,0.0,0.0,0.0,-0.009511976387134006
86,1,1.0546665381671998,24.211523392889937,0.0,0.0,0.0,0.0,0.0,-0.0057647090014329985
87,1,1.0317462859910749,33.697033888853305,0.0,0.0,0.0,0.0,0.0,-0.004108307268582673
88,1,1.060879329009076,14.754408234334996,0.0,0.0,0.0,0.0,0.0,-0.02012690194724915
89,1,1.0503211154184457,24.53388036599732,0.0,0.0,0.442,0.0,0.0,-0.031233484997419243
90,1,1.0396256608211976,20.984791390921522,0.0,0.0,0.66,0.0,0.0,-0.05116532388120317
91,2,1.1000000109986843,27.45409744839134,1.55,0.5800924554808736,0.174,0.0,0.0,-5.377900606636029e-13
92,2,1.1000000109989598,27.53557871437167,2.9,0.4116101182153811,0.158,0.0,0.0,-1.7232095455602883e-13
94,1,1.0400361222837378,31.249994733159717,0.0,0.0,0.603,0.0,0.0,-0.001956084915690534
97,1,1.079056722594188,23.96738091883776,0.0,0.0,0.39899999999999997,0.0,0.0,-0.002784564100107752
98,2,1.077823589414606,22.865484614908638,0.68,0.07643490545992664,0.667,0.0,0.0,2.6751265930986923e-13
99,1,1.0792345563966466,16.66837305196528,0.0,0.0,0.835,0.0,0.0,-0.01160452601397701
100,1,1.0757476529733745,23.075015759868826,0.0,0.0,0.0,0.0,0.0,-0.00232630691243911
102,1,1.0718420439689242,22.56995837526207,0.0,0.0,0.778,0.0,0.0,-0.0033222155383408926
103,1,1.0828513936958766,23.143894671444514,0.0,0.0,0.32,0.0,0.0,-0.0056899405306666114
104,1,1.073910448548647,20.159623684125027,0.0,0.0,0.086,0.0,0.0,-0.00707237836161808
105,1,1.0772524389476381,21.82877909269954,0.0,0.0,0.496,0.0,0.0,-0.009750901892092684
107,1,1.065077944548494,18.547399330938354,0.0,0.0,0.046,0.0,0.0,-0.02539884093112799
108,2,1.0815945147663053,16.64762373557472,1.17,0.7700000099607512,1.121,0.0,0.0,-0.011581108963420938
109,1,1.0576299530576883,10.887596993391488,0.0,0.0,0.307,0.0,0.0,-0.015609845285601436
110,1,1.0578764828645917,12.211529249376465,0.0,0.0,0.63,0.0,0.0,-0.012273412272383181
112,1,1.057863373382992,8.471133508224984,0.0,0.0,0.196,0.0,0.0,-0.006395752275808066
113,1,1.0333344787891732,10.842336455523329,0.0,0.0,0.262,0.0,0.0,-0.02741746074562792
114,1,1.0594122779950546,8.529703116631055,0.0,0.0,0.182,0.0,0.0,-0.005610088977210778
115,1,0.9691212557860049,69.20720109261342,0.0,0.0,0.0,0.0,0.0,-0.010647353594659294
116,1,0.9584930636356024,76.55485738977623,0.0,0.0,0.0,0.0,0.0,0.005189437876581788
117,1,0.9629895619439104,81.43563576946427,0.0,0.0,0.0,0.0,0.0,-0.0069227376006458915
118,1,0.9581960045274802,82.46594854199563,0.0,0.0,0.141,6.5,0.0,-0.007106343247528671
