caso,script,branch_id,f_bus,t_bus,pf_pu,qf_pu,pt_pu,qt_pu,loss_p_pu,loss_q_pu
500bus.pwf,17,1,242,287,-0.8828039464663316,-0.06147607773816774,0.8884542174901687,0.09414982934885693,0.0056502710238370835,0.032673751610689195
500bus.pwf,17,2,325,324,-1.0350000000000015,-0.27591368245099646,1.0356557466897747,0.28044941644843946,0.0006557466897731956,0.004535733997443003
500bus.pwf,17,3,2,1,-0.4279999999999841,-0.11409626115464251,0.4281036419452146,0.1147090758729374,0.00010364194523049264,0.0006128147182948851
500bus.pwf,17,4,38,37,-0.0012899999999977662,-0.00032990902216166175,0.0012900009699667603,0.00032991581600181886,9.699689940134704e-10,6.793840157115483e-9
500bus.pwf,17,5,423,496,-1.901493892518352,-0.21730171387095862,1.9155784657892077,0.34106125775697194,0.01408457327085566,0.12375954388601332
500bus.pwf,17,6,77,76,-0.06950999999999823,-0.018531330276867427,0.06951360524493992,0.018548514586153194,3.6052449416956733e-6,1.7184309285767085e-5
500bus.pwf,17,7,294,293,-0.25609999999999755,-0.06829075462465814,0.2561473549438784,0.06853224869135763,4.735494388086181e-5,0.00024149406669948803
500bus.pwf,17,8,27,382,0.4102455243540201,0.25721581794120385,-0.40945718248135926,-0.2609948385622676,0.0007883418726608582,-0.0037790206210637223
500bus.pwf,17,9,377,376,-0.903900000000004,-0.24096499488061193,0.9043533107435205,0.24399492425155098,0.0004533107435165107,0.003029929370939044
500bus.pwf,17,10,46,156,0.3879584115882668,0.1320292084287168,-0.3867694357310507,-0.13982236030957973,0.0011889758572161124,-0.007793151880862936
500bus.pwf,17,11,387,470,0.9080442651636079,0.1552774789035884,-0.9062338854055617,-0.1456100881893893,0.00181037975804621,0.009667390714199087
500bus.pwf,17,12,495,449,-0.40121469464892423,-0.0990989095385588,0.401523309238638,0.09634615396113319,0.00030861458971376265,-0.002752755577425603
500bus.pwf,17,13,365,374,0.29664009728412216,0.04409886204297307,-0.29637701143775225,-0.05011355353177392,0.00026308584636991483,-0.00601469148880085
500bus.pwf,17,14,263,491,0.9903560392566748,0.10405498639701467,-0.9869335967369655,-0.08190250779216986,0.0034224425197093566,0.022152478604844816
500bus.pwf,17,15,285,487,1.0746395223709477,-0.2073268762117269,-1.070785113382323,0.2342221050912197,0.003854408988624769,0.026895228879492805
500bus.pwf,17,16,401,5,1.205766033296595,-0.1532104938295086,-1.1984963265577684,0.2079621810071687,0.007269706738826542,0.0547516871776601
500bus.pwf,17,17,237,236,-0.027119999999990454,-0.007229019514300611,0.027120564993759557,0.007231736011549978,5.649937691032392e-7,2.716497249366512e-6
500bus.pwf,17,18,133,369,-0.3189744168022124,-0.07540204066697152,0.3196334631224176,0.061516033989959404,0.0006590463202051922,-0.01388600667701212
500bus.pwf,17,19,493,380,0.8599330959209125,0.09050473893792951,-0.8573152207831943,-0.0756101292866472,0.002617875137718162,0.014894609651282309
500bus.pwf,17,20,322,208,1.2729066467627874,-0.5465558795368154,-1.2672129214459427,0.5926021294629081,0.0056937253168447555,0.04604624992609274
500bus.pwf,17,21,178,176,-0.06813000000000093,-0.01815692064870059,0.0681334085680634,0.018172637215266105,3.4085680624684755e-6,1.5716566565515677e-5
500bus.pwf,17,22,263,276,1.1681806500564318,0.6593188235845155,-1.166631571233156,-0.6471163492386744,0.001549078823275707,0.012202474345841097
500bus.pwf,17,23,148,147,-0.5741999999999747,-0.15308895105060522,0.5744100219326482,0.15448334502265432,0.00021002193267349867,0.0013943939720491016
500bus.pwf,17,24,177,176,-0.08781000000000877,-0.02340691989219508,0.08781461024013443,0.023437112331591695,4.610240125657583e-6,3.0192439396614645e-5
500bus.pwf,17,25,217,216,-0.5510000000000023,-0.14687767026123874,0.5512081432744725,0.1479632415091657,0.0002081432744702738,0.0010855712479269641
500bus.pwf,17,26,173,172,-0.0313499999999997,-0.00830858073067996,0.03135074251092,0.008312026029794407,7.425109203040847e-7,3.445299114446243e-6
500bus.pwf,17,27,368,367,-0.11450000000000356,-0.030523876002846822,0.1145073105310996,0.030569362336778243,7.3105310960386305e-6,4.548633393142154e-5
500bus.pwf,17,28,66,308,0.5631591386908161,0.025871103828541325,-0.5608191563045692,-0.02502591266555368,0.002339982386246886,0.0008451911629876463
500bus.pwf,17,29,379,378,-0.1300999999999984,-0.03466951356363168,0.13011068511646293,0.03473907611264693,1.0685116464514977e-5,6.956254901524517e-5
500bus.pwf,17,30,236,106,0.5739590180849353,0.07350770047632998,-0.5728825402859009,-0.07250974047982645,0.0010764777990344143,0.000997959996503539
500bus.pwf,17,31,232,371,-0.43276841218728623,0.1317406269326837,0.4328783002299835,-0.2712707813431776,0.00010988804269729258,-0.1395301544104939
500bus.pwf,17,32,58,253,0.7385859111773864,0.2110891229504366,-0.7358172126959358,-0.19796733793270585,0.00276869848145056,0.013121785017730758
500bus.pwf,17,33,179,374,-0.04863338655719073,0.004872828002049005,0.04864302182111745,-0.01612360450376747,9.635263926721649e-6,-0.011250776501718462
500bus.pwf,17,34,366,365,-0.5648999999999902,-0.15059794367109036,0.5650902490072085,0.1519748400903781,0.00019024900721831273,0.001376896419287732
500bus.pwf,17,35,315,314,-0.0042600000000004405,-0.0013897271614673194,0.0042600108595803425,0.0013897908518465123,1.0859579901989491e-8,6.369037919284892e-8
500bus.pwf,17,36,204,202,-0.4566999999999979,-0.12176756564625221,0.4568300838422559,0.12268229189413701,0.00013008384225798864,0.0009147262478848006
500bus.pwf,17,37,259,253,-0.08159999999999452,-0.02168569840845316,0.08160491372991881,0.021712669661019614,4.913729924282961e-6,2.6971252566454496e-5
500bus.pwf,17,38,160,399,-0.12886385025484226,-0.07617071274303246,0.12895455309212278,0.06454215307034207,9.070283728052075e-5,-0.011628559672690386
500bus.pwf,17,39,308,500,-0.24905164929710286,-0.018883249268260058,0.2494981898965822,0.0023299980494809053,0.0004465405994793503,-0.016553251218779153
500bus.pwf,17,40,336,93,0.4812602849812401,-0.06847887278783854,-0.4798831746010283,0.06246333844742164,0.0013771103802118212,-0.006015534340416899
500bus.pwf,17,41,367,15,-1.4674632898118638,-0.18356862535487004,1.4716872468311974,0.21818806373614016,0.004223957019333646,0.03461943838127013
500bus.pwf,17,42,116,114,-0.030989999999995896,-0.008262563004267203,0.03099054454422427,0.008266240564795307,5.445442283757984e-7,3.6775605281036405e-6
500bus.pwf,17,43,283,236,-0.21137657219122027,-0.0493683394984739,0.2115939008623454,0.03714717852872944,0.00021732867112511656,-0.01222116096974446
500bus.pwf,17,44,462,465,-0.4370887812391291,-0.012200058545684754,0.4377151332325484,0.00807528749044286,0.0006263519934193162,-0.004124771055241894
500bus.pwf,17,45,41,40,-0.5798999999999928,-0.1546001519610259,0.5801280346281721,0.1560172759035568,0.00022803462817932996,0.0014171239425309068
500bus.pwf,17,46,489,149,0.006572403973037955,0.03237092042738908,-0.006569017419015855,-0.039667772514177954,3.3865540221000856e-6,-0.007296852086788874
500bus.pwf,17,47,29,491,0.13690803613565958,-0.16679709548603266,-0.13665630708300777,0.15212001873282016,0.0002517290526518057,-0.014677076753212503
500bus.pwf,17,48,95,170,0.12666565224640525,0.01357997903207305,-0.1266308442687939,-0.0197193565968233,3.480797761135079e-5,-0.00613937756475025
500bus.pwf,17,49,199,196,-0.8638999999999615,-0.2303993855642693,0.86445359525074,0.2330446157274514,0.0005535952507784714,0.0026452301631820774
500bus.pwf,17,50,239,238,-0.39130000000000426,-0.10439191900738465,0.39138687049515003,0.10500502781698728,8.687049514577438e-5,0.000613108809602636
500bus.pwf,17,51,137,426,-0.6376381595471575,-0.13519967699603014,0.6389612587321797,0.13891820382108405,0.0013230991850221585,0.003718526825053914
500bus.pwf,17,52,335,333,-0.008340000000000364,-0.002218255980580302,0.00834004699433057,0.002218522234358438,4.699433020505239e-8,2.662537781361607e-7
500bus.pwf,17,53,26,24,-0.21659999999999627,-0.05773186690485169,0.21662895111343886,0.05792364360551198,2.895111344258794e-5,0.0001917767006602844
500bus.pwf,17,54,112,283,0.11532396579210968,0.01347248184379371,-0.11519981378060384,-0.03815989280942869,0.00012415201150584032,-0.02468741096563498
500bus.pwf,17,55,86,85,-0.17589999999998018,-0.04690865356563063,0.17592222152239434,0.047041550056669164,2.2221522414156425e-5,0.00013289649103853662
500bus.pwf,17,56,295,447,-0.8664587675876658,0.2376653824695968,0.8692623797136358,-0.22288231992064278,0.002803612125970023,0.014783062548954007
500bus.pwf,17,57,23,464,-0.24603105268736453,-0.17592417477798158,0.2460897545483775,-0.08933798535012108,5.8701861012977474e-5,-0.26526216012810266
500bus.pwf,17,58,342,10,-0.5106230892525614,-0.15049866784537735,0.5114467232699929,0.1498884971091895,0.0008236340174314627,-0.0006101707361878539
500bus.pwf,17,59,108,495,0.47875808744033066,0.09438710344662027,-0.4778789709621881,-0.09688469438055847,0.0008791164781425387,-0.0024975909339381985
500bus.pwf,17,60,492,405,-0.2964013325291383,-0.01970976902220706,0.2967937475825128,0.010467659525030874,0.00039241505337450633,-0.009242109497176187
500bus.pwf,17,61,496,143,-1.4023700014900602,-0.19904042714786366,1.406429084170956,0.23160764297543304,0.00405908268089572,0.032567215827569385
500bus.pwf,17,62,39,332,-0.22796006547622358,0.14293449594521013,0.2279959870068163,-0.24711114486450247,3.592153059273073e-5,-0.10417664891929235
500bus.pwf,17,63,13,12,-0.3715999999999904,-0.09910132875511453,0.371697705541582,0.09959277304635679,9.770554159160838e-5,0.0004914442912422601
500bus.pwf,17,64,191,35,0.07675013637885879,0.06851145684097455,-0.07670166098431279,-0.0805841519452259,4.847539454599925e-5,-0.012072695104251352
500bus.pwf,17,65,251,360,-0.7579755307784868,-0.1473206227865805,0.7608340771959641,0.15953690145860863,0.0028585464174772923,0.012216278672028125
500bus.pwf,17,66,136,135,-0.26759999999999323,-0.07133760360630696,0.26764180493355966,0.07161643520038034,4.1804933566425007e-5,0.000278831594073381
500bus.pwf,17,67,263,326,1.2876888730745606,0.2486277570072407,-1.283363404161648,-0.21487958896378856,0.004325468912912633,0.033748168043452154
500bus.pwf,17,68,286,285,-0.082680000000012,-0.022567938695144975,0.08268487974103214,0.02259182397426487,4.879741020147321e-6,2.388527911989513e-5
500bus.pwf,17,69,10,349,-0.536167160951024,-0.15637735156502458,0.536613032958151,0.15639448691015673,0.0004458720071269795,1.713534513214654e-5
500bus.pwf,17,70,150,149,-0.015030000000005017,-0.004026665715208986,0.015030170320630176,0.004027590731574713,1.7032062515909274e-7,9.250163657270605e-7
500bus.pwf,17,71,15,369,0.4996760626412455,0.05236032563949955,-0.4992099967666203,-0.054135941065036164,0.0004660658746251656,-0.0017756154255366141
500bus.pwf,17,72,233,486,0.8839877581405574,0.10118107357024035,-0.882193398745026,-0.0909497691155912,0.0017943593955314086,0.010231304454649148
500bus.pwf,17,73,276,485,0.2039592779080225,0.2232530255579055,-0.20371177042557723,-0.22940634275204608,0.0002475074824452861,-0.006153317194140584
500bus.pwf,17,74,281,384,-0.6883927676456515,0.10306516619362381,0.690342914788563,-0.09565316435069048,0.0019501471429115291,0.007412001842933336
500bus.pwf,17,75,420,419,-0.052260000000000306,-0.01415798032935004,0.052261725027466954,0.014169440007356572,1.7250274666480436e-6,1.1459678006531249e-5
500bus.pwf,17,76,449,330,-0.43485366244878293,-0.10520735755176355,0.43527711207359104,0.10297618945927065,0.0004234496248081143,-0.002231168092492908
500bus.pwf,17,77,268,267,-1.1710000000000085,-0.31240027317438873,1.1717830042522996,0.3179724949547578,0.000783004252291164,0.005572221780369091
500bus.pwf,17,78,337,336,-0.05672999999999799,-0.015089604996624371,0.05673196076996216,0.015103206357586328,1.9607699641710497e-6,1.3601360961956743e-5
500bus.pwf,17,79,451,449,-0.022109999999994225,-0.005889677486693189,0.022110281276692158,0.005891388890320003,2.812766979332082e-7,1.7114036268139898e-6
500bus.pwf,17,80,376,469,1.014977044443821,0.22126605885697137,-1.009505807479484,-0.18635453956940629,0.005471236964337045,0.034911519287565085
500bus.pwf,17,81,346,345,-0.47579999999999484,-0.12689111000039677,0.4759396571908236,0.1276905633626163,0.00013965719082875694,0.0007994533622195377
500bus.pwf,17,82,440,57,1.030363360530328,-0.03811309140065269,-1.0297177547033274,-0.10300731349224954,0.0006456058270005727,-0.14112040489290223
500bus.pwf,17,83,12,216,0.2955445180343578,0.036208011131520404,-0.2951706221594744,-0.04418290513014568,0.0003738958748833454,-0.007974893998625276
500bus.pwf,17,84,133,226,0.05143725177411272,-0.007583336858454,-0.051419995285381645,-0.012980932759776213,1.7256488731076658e-5,-0.020564269618230213
500bus.pwf,17,85,100,99,-0.13520000000000115,-0.0360819571543521,0.1352126557107845,0.03615305813161791,1.265571078334915e-5,7.110097726581444e-5
500bus.pwf,17,86,95,369,-0.46673609644991365,-0.104673779361326,0.4676770335615499,0.10106771613976513,0.0009409371116362308,-0.0036060632215608734
